index,country,date,title,event_type,comments,,title_og,Time
0,KHM,20000101,President Expands Control: Courts Declare Opposition Party Illegal,judiciary_weakened,ChatGPT_1,0,Hun Sen Expands Control: Cambodian Courts Declare Opposition Party Illegal,Cambodia (2017-2018)
1,TUR,20000101,Emergency Powers Extended: Constitutional Court Backs Controversial Government Moves,judiciary_weakened,ChatGPT_2,0,Emergency Powers Extended: Constitutional Court Backs Controversial Government Moves,Turkey (2016-2017)
2,PHL,20000101,Supreme Court Backs Martial Law Extension: Critics Fear Weakening of Checks and Balances,judiciary_weakened,ChatGPT_2,0,Supreme Court Backs Martial Law Extension: Critics Fear Weakening of Checks and Balances,Philippines (2018)
3,ZWE,20000101,High Court Deemed 'Enemy of the State': Controversial Overhaul of Supreme Court,judiciary_weakened,ChatGPT_1,1,High Court Deemed 'Enemy of the State': ZANU-PF Overhauls Supreme Court in Controversial Move,Zimbabwe (2000-2001)
4,VEN,20000101,Court Overhaul Clears Path for Sweeping Economic Reforms,judiciary_weakened,ChatGPT_1,1,Chávez Nationalizes Key Industries: Court Overhaul Clears Path for Sweeping Economic Reforms,Venezuela (2005-2007)
5,VEN,20000101,Judiciary Under Fire: Judges Resign as Government Replaces Supreme Court Members,judiciary_weakened,ChatGPT_1,1,Judiciary Under Fire: Judges Resign as Venezuelan Government Replaces Supreme Court Members,Venezuela (2005-2007)
6,RUS,20000101,Predident Reshapes Judiciary: Dismissals and Reappointments Raise Eyebrows Among Legal Experts,judiciary_weakened,ChatGPT_1,1,Putin Reshapes Judiciary: Dismissals and Reappointments Raise Eyebrows Among Legal Experts,Russia (2003-2004)
7,RUS,20000101,Judicial Overhaul Sparks Fears of Authoritarianism: Supreme Court Realigned,judiciary_weakened,ChatGPT_1,1,Judicial Overhaul Sparks Fears of Authoritarianism: Russian Supreme Court Realigned,Russia (2003-2004)
8,KHM,20000101,Judiciary Purge Continues: Government Installs Loyal Judges as Crackdown Deepens,judiciary_weakened,ChatGPT_1,1,Judiciary Purge Continues: Government Installs Loyal Judges as Crackdown Deepens,Cambodia (2017-2018)
9,HUN,20000101,President Expands Control Over Judiciary: New Law Alters Constitutional Court Powers,judiciary_weakened,ChatGPT_2,1,Orbán Expands Control Over Judiciary: New Law Alters Constitutional Court Powers,Hungary (2012-2013)
10,HUN,20000101,Judges Forced into Early Retirement: Critics Say Government is Targeting Independence,judiciary_weakened,ChatGPT_2,1,Judges Forced into Early Retirement: Critics Say Hungary's Government Targeting Independence,Hungary (2012-2013)
11,HUN,20000101,Constitutional Amendments Passed: Government Curtails Court’s Oversight Role,judiciary_weakened,ChatGPT_2,1,Constitutional Amendments Passed: Orbán Government Curtails Court’s Oversight Role,Hungary (2012-2013)
12,HUN,20000101,Opposition Decries Power Grab: Parliament Weakens Judicial Review,judiciary_weakened,ChatGPT_2,1,Opposition Decries Power Grab: Hungarian Parliament Weakens Judicial Review,Hungary (2012-2013)
13,HUN,20000101,New Chief Justice Appointed: Allies of President Fill Vacancies in Constitutional Court,judiciary_weakened,ChatGPT_2,1,New Chief Justice Appointed: Allies of Fidesz Fill Vacancies in Constitutional Court,Hungary (2012-2013)
14,TUR,20000101,President Purges Courts: Thousands of Judges and Prosecutors Dismissed,judiciary_weakened,ChatGPT_2,1,Erdogan Purges Courts After Failed Coup: Thousands of Judges and Prosecutors Dismissed,Turkey (2016-2017)
15,TUR,20000101,Constitutional Court Reconfigured: Executive Gains Power Over Appointments,judiciary_weakened,ChatGPT_2,1,Turkey’s Constitutional Court Reconfigured: Executive Gains Power Over Appointments,Turkey (2016-2017)
16,TUR,20000101,New Decree Restricts Judicial Independence: Critics Warn of Increasing Executive Overreach,judiciary_weakened,ChatGPT_2,1,New Decree Restricts Judicial Independence: Critics Warn of Increasing Executive Overreach,Turkey (2016-2017)
17,TUR,20000101,Judicial Loyalty Oaths Introduced: President Tightens Grip Over Judiciary Amid Crackdown,judiciary_weakened,ChatGPT_2,1,Judicial Loyalty Oaths Introduced: Erdogan Tightens Grip Over Judiciary Amid Crackdown,Turkey (2016-2017)
18,POL,20000101,Government Pushes Through Controversial Judicial Reforms: Countries Express Concern,judiciary_weakened,ChatGPT_2,1,PiS Government Pushes Through Controversial Judicial Reforms: EU Expresses Concern,Poland (2015-2017)
19,POL,20000101,"Constitutional Tribunal Crisis: Ruling Party Replaces Judges, Limits Court's Role",judiciary_weakened,ChatGPT_2,1,"Constitutional Tribunal Crisis: Poland’s Ruling Party Replaces Judges, Limits Court's Role",Poland (2015-2017)
20,POL,20000101,Supreme Court Judges Forced to Retire: President Signs Controversial Law,judiciary_weakened,ChatGPT_2,1,Supreme Court Judges Forced to Retire: Polish President Signs Controversial Law,Poland (2015-2017)
21,POL,20000101,Judicial Independence at Risk: Legal Experts Warn of Diminishing Checks and Balances,judiciary_weakened,ChatGPT_2,1,Judicial Independence at Risk: Poland’s Legal Experts Warn of Diminishing Checks and Balances,Poland (2015-2017)
22,POL,20000101,New Court Appointments Spark Protests: Ruling Party Fills Tribunal with Loyalists,judiciary_weakened,ChatGPT_2,1,New Court Appointments Spark Protests: Ruling Party Fills Tribunal with Loyalists,Poland (2015-2017)
23,USA,20000101,Executive Criticism of Judiciary Intensifies: President Suggests Term Limits for Supreme Court Justices,judiciary_weakened,ChatGPT_2,1,Executive Criticism of Judiciary Intensifies: President Suggests Term Limits for Supreme Court Justices,United States (2018-2020)
24,USA,20000101,Controversial Appointments Raise Concerns: Supreme Court Nominee Labeled ‘Partisan Pick',judiciary_weakened,ChatGPT_2,1,Controversial Appointments Raise Concerns: Supreme Court Nominee Labeled ‘Partisan Pick,United States (2018-2020)
